target,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,respicast,hubEnsemble,respicast-hubEnsemble,504.1646947354056,625.4909049082676,0.2798792632339205,249,1
ARI incidence,MIGHTE,jointGBM,MIGHTE-jointGBM,299.92406008088244,458.61575792782725,0.2603585402233174,122,2
ARI incidence,Chronos,Chronos2,Chronos-Chronos2,148.08679778287998,200.44739448322602,0.23261369743090698,48,3
ARI incidence,MRC_GIDA,Prophet,MRC_GIDA-Prophet,369.5214934099652,524.118701205174,0.20052010066582238,30,4
ARI incidence,ISI,FluABCaster,ISI-FluABCaster,343.3083518965978,403.2517763151199,0.15295542397944395,193,5
ARI incidence,ECDC,SARIMA,ECDC-SARIMA,339.874260685564,448.59598859025385,0.07683401242350367,141,6
ARI incidence,safinea,PRFM,safinea-PRFM,433.57560999437527,658.6401289856825,0.030687725529104922,244,7
ARI incidence,respicast,quantileBaseline,respicast-quantileBaseline,464.503606451969,676.8420704276076,0,249,8
ARI incidence,ISI,RespiVAR,ISI-RespiVAR,124.04229818788394,208.83706896551718,-0.008966213183461342,116,9
ARI incidence,ISI,FluBcast,ISI-FluBcast,739.1203384735268,846.3925637239477,-0.036067580568263494,174,10
ARI incidence,ECDC,soca_simplex,ECDC-soca_simplex,477.1364713242772,641.4655313594842,-0.11177619795230281,169,11
ARI incidence,MRC_GIDA,TiDE,MRC_GIDA-TiDE,726.0542831899526,1093.39071520797,-0.5028936578293659,30,12
ARI incidence,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,700.4088235401382,975.5618628315369,-0.538769605868635,30,13
ARI incidence,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,668.6779704233096,914.6815985228421,-0.714151589276462,30,14
ARI incidence,ISI,LSTFlu,ISI-LSTFlu,1395.9007091338772,1700.1726140648343,-0.8097325119444944,205,15
ARI incidence,ISI,GLEAM,ISI-GLEAM,328.9101984859638,390.5835438164741,-1.3192984902808613,148,16
ARI incidence,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,410.65263003432494,435.6631578947369,-1.470121845709789,76,17
ILI incidence,ISI,FluABCaster,ISI-FluABCaster,243.62902453378732,282.77510149228743,0.45365160667428434,257,1
ILI incidence,MRC_GIDA,Prophet,MRC_GIDA-Prophet,174.80359493460367,305.3077904390879,0.4377869254839812,55,2
ILI incidence,ISI,FluBcast,ISI-FluBcast,244.60699736558462,328.6687102164772,0.3972488108537463,229,3
ILI incidence,respicast,hubEnsemble,respicast-hubEnsemble,190.4668647990085,282.51651036518746,0.3904754760731246,317,4
ILI incidence,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,194.7705557877103,274.95436031446866,0.2285573114507799,315,5
ILI incidence,safinea,PRFM,safinea-PRFM,290.1567167160659,380.7891680415939,0.19850405846909172,312,6
ILI incidence,QMUL,SEIR,QMUL-SEIR,248.5135754195562,311.5350888345142,0.18309821373962779,209,7
ILI incidence,ECDC,SARIMA,ECDC-SARIMA,215.37389652274933,326.82638778770695,0.11217953625853365,184,8
ILI incidence,ECDC,soca_simplex,ECDC-soca_simplex,207.19928965869786,287.44989799320865,0.1101292947817953,216,9
ILI incidence,ISI,RespiVAR,ISI-RespiVAR,267.41134398229576,425.94768518518504,0.09062384254087619,216,10
ILI incidence,MIGHTE,jointGBM,MIGHTE-jointGBM,223.42311940669126,333.86910317458546,0.056107542234986284,220,11
ILI incidence,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,258.702441525766,427.7741061789389,0.04823547038138394,285,12
ILI incidence,respicast,quantileBaseline,respicast-quantileBaseline,191.73837839363748,279.8936539079909,0,317,13
ILI incidence,Chronos,Chronos2,Chronos-Chronos2,161.5124442987249,260.29163544224457,-0.030622064788980163,63,14
ILI incidence,QMUL,ARIMA,QMUL-ARIMA,375.7867822288635,477.5750181500758,-0.2091985685502605,200,15
ILI incidence,ISI,GLEAM,ISI-GLEAM,252.02037944972827,288.470078125,-0.20937761726153234,128,16
ILI incidence,QMUL,SEIR_agumented,QMUL-SEIR_agumented,267.13533766292534,325.92846531598855,-0.24092645102894553,155,17
ILI incidence,MRC_GIDA,TiDE,MRC_GIDA-TiDE,285.91418033579026,396.41973419376353,-0.4448415836822327,55,18
ILI incidence,ISI,LSTFlu,ISI-LSTFlu,686.8966548703414,867.0805340937509,-0.5363611172816829,260,19
ILI incidence,RIVM,KFdlm,RIVM-KFdlm,34830.22310974686,465.46642040633816,-0.6268273816991208,307,20
ILI incidence,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,293.4223564835192,373.54970796605653,-0.645406728207406,55,21
ILI incidence,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,376.15548331861794,413.6053444139791,-0.6495219025373383,55,22
ILI incidence,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,534.5077418742085,555.3097087378641,-1.7663647247617043,103,23
