target,horizon,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,1,MIGHTE,jointGBM,MIGHTE-jointGBM,291.4652246373883,411.3477723403789,0.2849891957612117,45,1
ARI incidence,1,Chronos,Chronos2,Chronos-Chronos2,142.39277753269022,190.16583869173814,0.1608289192612339,34,2
ARI incidence,1,respicast,hubEnsemble,respicast-hubEnsemble,515.7952057970656,629.6273879986795,0.13578729496999378,93,3
ARI incidence,1,ISI,FluABCaster,ISI-FluABCaster,260.30657414817074,305.81766904981237,0.052639843881882684,71,4
ARI incidence,1,respicast,quantileBaseline,respicast-quantileBaseline,450.3498259504388,621.6154649359013,0,93,5
ARI incidence,1,ISI,RespiVAR,ISI-RespiVAR,96.32187899260022,150.76904761904754,-0.04754186399222067,42,6
ARI incidence,1,ECDC,SARIMA,ECDC-SARIMA,340.1909781207841,427.8355519327998,-0.10479718837595854,58,7
ARI incidence,1,ISI,FluBcast,ISI-FluBcast,678.6567058179539,765.4844191098749,-0.18490366315044504,67,8
ARI incidence,1,ECDC,soca_simplex,ECDC-soca_simplex,507.413051547498,649.4106279895515,-0.20040912518852905,72,9
ARI incidence,1,safinea,PRFM,safinea-PRFM,474.5487297134323,742.0584335600296,-0.32164310422240416,91,10
ARI incidence,1,MRC_GIDA,Prophet,MRC_GIDA-Prophet,349.5207290361356,515.0662594913081,-0.3322819905715777,10,11
ARI incidence,1,ISI,LSTFlu,ISI-LSTFlu,702.1408819524002,840.3350970913577,-0.4105410286097511,74,12
ARI incidence,1,MRC_GIDA,TiDE,MRC_GIDA-TiDE,651.2470286972305,1057.3347193458583,-0.6446381304068136,10,13
ARI incidence,1,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,723.3399798360022,1012.77795985224,-0.7460576785525845,10,14
ARI incidence,1,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,673.9615850595848,908.598848547479,-0.9465087164978835,10,15
ARI incidence,1,ISI,GLEAM,ISI-GLEAM,190.19438696240724,239.27927431076168,-1.2409676041097215,58,16
ARI incidence,1,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,339.9570858152174,364.68250000000006,-1.571654825371614,40,17
ARI incidence,2,MRC_GIDA,Prophet,MRC_GIDA-Prophet,324.6087183494998,404.1301542800613,0.42853029751560784,10,1
ARI incidence,2,Chronos,Chronos2,Chronos-Chronos2,161.915132676198,225.41688711969655,0.4148365958616156,14,2
ARI incidence,2,respicast,hubEnsemble,respicast-hubEnsemble,552.1772138821209,672.4067694299267,0.26695692336095606,72,3
