target,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,MIGHTE,jointGBM,MIGHTE-jointGBM,272.3357748296701,433.108270398061,0.35861959977635266,792,1
ARI incidence,Chronos,Chronos2,Chronos-Chronos2,148.08679778287998,200.44739448322602,0.23261369743090698,48,2
ARI incidence,respicast,hubEnsemble,respicast-hubEnsemble,523.9288432972376,680.7216135372345,0.12802845339329327,1438,3
ARI incidence,ISI,RespiVAR,ISI-RespiVAR,206.03878242485192,329.2864516129031,0.08044060434118908,155,4
ARI incidence,ECDC,soca_simplex,ECDC-soca_simplex,579.1756002170956,766.5883107773993,0.07840269260329467,1278,5
ARI incidence,ECDC,SARIMA,ECDC-SARIMA,323.86992309567887,487.9133428078293,0.05404450868251541,1023,6
ARI incidence,safinea,PRFM,safinea-PRFM,479.09493217688765,668.630648993328,0.05269500210056553,1371,7
ARI incidence,respicast,quantileBaseline,respicast-quantileBaseline,474.81692569918243,726.6681271223541,0,1470,8
ARI incidence,MRC_GIDA,Prophet,MRC_GIDA-Prophet,326.8661082484099,489.1759845418064,-0.04703266294392748,304,9
ARI incidence,ISI,FluABCaster,ISI-FluABCaster,380.1443014410791,453.18770784157,-0.10050838923802091,587,10
ARI incidence,ISI,FluBcast,ISI-FluBcast,357.90795973794263,449.3275099771542,-0.15594975651625984,753,11
ARI incidence,MRC_GIDA,TiDE,MRC_GIDA-TiDE,667.3991462306767,954.698388500099,-0.46828172297741993,284,12
ARI incidence,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,754.1051215689861,941.7130066574964,-0.4807374414303696,284,13
ARI incidence,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,612.6351674640105,638.4530100334447,-0.5373710268741775,598,14
ARI incidence,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,831.688275181938,974.6448608414505,-0.7821576374559427,284,15
ARI incidence,ISI,LSTFlu,ISI-LSTFlu,1127.416096812162,1390.040354978309,-0.8043449141828211,389,16
ARI incidence,ISI,GLEAM,ISI-GLEAM,410.1844467860024,510.7542237485537,-1.1833403087641097,470,17
ILI incidence,MIGHTE,jointGBM,MIGHTE-jointGBM,241.3623139122443,363.9475642018422,0.2716814034245843,1268,1
ILI incidence,respicast,hubEnsemble,respicast-hubEnsemble,209.15010039464056,305.4458367221747,0.2607781677129496,1769,2
ILI incidence,ISI,FluBcast,ISI-FluBcast,112.19401052345836,155.9645525580314,0.2428530163117203,1055,3
ILI incidence,ISI,FluABCaster,ISI-FluABCaster,312.91988064046313,363.8437293207278,0.13715521155598112,856,4
ILI incidence,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,321.8376787211095,504.03977385547546,0.05739230428523957,1583,5
ILI incidence,ISI,RespiVAR,ISI-RespiVAR,261.7732812859089,415.6137426900584,0.05449524572419041,342,6
ILI incidence,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,229.21281200316824,351.4144683522875,0.054219301964709726,1738,7
ILI incidence,ECDC,soca_simplex,ECDC-soca_simplex,292.59955940022587,395.26931520007605,0.04397335705756335,1532,8
ILI incidence,respicast,quantileBaseline,respicast-quantileBaseline,245.31930529316654,352.30293951142033,0,1781,9
ILI incidence,safinea,PRFM,safinea-PRFM,283.82488557049413,381.6076414675348,-0.01490712824883655,1711,10
ILI incidence,ECDC,SARIMA,ECDC-SARIMA,296.04724273211326,408.87535380503994,-0.02477249695776874,1301,11
ILI incidence,QMUL,ARIMA,QMUL-ARIMA,394.44642595136713,474.9700240656238,-0.025948210807332266,1080,12
ILI incidence,Chronos,Chronos2,Chronos-Chronos2,161.5124442987249,260.29163544224457,-0.030622064788980163,63,13
ILI incidence,QMUL,SEIR_agumented,QMUL-SEIR_agumented,223.59161958125034,259.27267799731635,-0.06871543054722389,764,14
ILI incidence,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,365.87323324945874,379.56944818304174,-0.13686363764878823,743,15
ILI incidence,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,230.39772773481465,275.15701753475565,-0.15370411606884665,448,16
ILI incidence,QMUL,SEIR,QMUL-SEIR,233.73196899996634,327.3206458055954,-0.1742754998999025,855,17
ILI incidence,MRC_GIDA,TiDE,MRC_GIDA-TiDE,196.51112907972248,280.3249535839406,-0.24570240678560942,448,18
ILI incidence,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,271.4878462583263,291.57688474069585,-0.30083009489850127,448,19
ILI incidence,MRC_GIDA,Prophet,MRC_GIDA-Prophet,221.84770090291377,334.49831344684986,-0.3757012107297832,492,20
ILI incidence,ISI,LSTFlu,ISI-LSTFlu,602.941036522538,770.6398229187265,-0.45529218201323646,487,21
ILI incidence,ISI,GLEAM,ISI-GLEAM,250.3919368145468,294.76866614411034,-0.5365245396894464,397,22
ILI incidence,RIVM,KFdlm,RIVM-KFdlm,29305.824623383178,479.5248260584271,-0.5600269184252183,1280,23
