target,horizon,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,1,MIGHTE,jointGBM,MIGHTE-jointGBM,244.0115049250132,361.97108868279497,0.27409329785851955,214,1
ARI incidence,1,Chronos,Chronos2,Chronos-Chronos2,142.39277753269022,190.16583869173814,0.1608289192612339,34,2
ARI incidence,1,respicast,hubEnsemble,respicast-hubEnsemble,474.76309000717555,620.7220030003116,0.040678617855777546,391,3
ARI incidence,1,ISI,FluABCaster,ISI-FluABCaster,252.22814839106647,298.77776323443925,0.018063740452181093,171,4
ARI incidence,1,respicast,quantileBaseline,respicast-quantileBaseline,399.20711975885877,592.7798548179804,0,399,5
ARI incidence,1,ECDC,SARIMA,ECDC-SARIMA,264.5590627964253,377.89995196528866,-0.04214298874844355,281,6
ARI incidence,1,ISI,RespiVAR,ISI-RespiVAR,220.3713073069708,329.2769230769229,-0.0526221861547061,52,7
ARI incidence,1,ECDC,soca_simplex,ECDC-soca_simplex,503.92885514871364,682.0108342880089,-0.061726258826293734,352,8
ARI incidence,1,ISI,FluBcast,ISI-FluBcast,330.6980718503571,389.93310567850705,-0.1729900658029672,212,9
ARI incidence,1,safinea,PRFM,safinea-PRFM,402.3770533522249,587.726726267352,-0.18615077788510329,375,10
ARI incidence,1,ISI,LSTFlu,ISI-LSTFlu,587.2363407889313,716.4250052272176,-0.31942269699303066,121,11
ARI incidence,1,MRC_GIDA,Prophet,MRC_GIDA-Prophet,282.3271506341051,418.47331433785376,-0.5645880801150153,78,12
ARI incidence,1,ISI,GLEAM,ISI-GLEAM,214.7469184374587,273.2894568671408,-0.8435352207549304,138,13
ARI incidence,1,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,551.4581954849498,576.3615384615384,-0.8947783677311625,169,14
ARI incidence,1,MRC_GIDA,TiDE,MRC_GIDA-TiDE,760.695474983012,1061.580216534482,-1.272051369857814,73,15
ARI incidence,1,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,910.9900944152068,1121.3832475376473,-1.3536071015717186,73,16
ARI incidence,1,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,969.4578638252013,1119.9793726137573,-1.5983084390032718,73,17
ARI incidence,2,Chronos,Chronos2,Chronos-Chronos2,161.915132676198,225.41688711969655,0.4148365958616156,14,1
ARI incidence,2,MIGHTE,jointGBM,MIGHTE-jointGBM,267.08488092447027,426.04914166782146,0.35716585834278064,203,2
ARI incidence,2,ISI,RespiVAR,ISI-RespiVAR,158.4920907524969,258.7232558139533,0.12101267731658046,43,3
ARI incidence,2,respicast,hubEnsemble,respicast-hubEnsemble,524.5225187295601,682.2281244110878,0.10639575692109991,371,4
ARI incidence,2,safinea,PRFM,safinea-PRFM,486.0535851969669,672.5449957861343,0.06349861532984212,353,5
ARI incidence,2,ECDC,soca_simplex,ECDC-soca_simplex,565.7900494002079,762.2573092401053,0.058252490477182624,332,6
ARI incidence,2,ECDC,SARIMA,ECDC-SARIMA,320.1900835580122,479.49246735394706,0.034169156397428804,265,7
ARI incidence,2,ISI,FluABCaster,ISI-FluABCaster,318.1544525164706,384.01208683347073,0.027665664457220858,153,8
ARI incidence,2,respicast,quantileBaseline,respicast-quantileBaseline,469.5127792781964,718.6917316308192,0,378,9
ARI incidence,2,MRC_GIDA,Prophet,MRC_GIDA-Prophet,285.30439510232407,417.40425497952924,-0.060399230786014065,79,10
ARI incidence,2,ISI,FluBcast,ISI-FluBcast,372.1442965225742,456.350372980552,-0.10640238415426621,199,11
ARI incidence,2,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,564.3815903428095,590.35,-0.5329875715005972,156,12
ARI incidence,2,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,820.7220697672398,1015.7275099339505,-0.657972542431414,74,13
ARI incidence,2,MRC_GIDA,TiDE,MRC_GIDA-TiDE,694.0699708621556,1003.500195872721,-0.6868828668813365,74,14
ARI incidence,2,ISI,LSTFlu,ISI-LSTFlu,1114.00655022004,1363.7195657786747,-0.7188414946667667,106,15
ARI incidence,2,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,905.6888171790081,1050.1717192587153,-1.0293888997234124,74,16
ARI incidence,2,ISI,GLEAM,ISI-GLEAM,372.8360055533681,463.58046280865864,-1.0412406894682014,126,17
ARI incidence,3,MIGHTE,jointGBM,MIGHTE-jointGBM,297.5740372371136,499.0783516750251,0.3930962181836332,193,1
ARI incidence,3,respicast,hubEnsemble,respicast-hubEnsemble,567.5898569714817,727.6449149679021,0.18957306194820395,349,2
ARI incidence,3,safinea,PRFM,safinea-PRFM,527.7332385373561,709.2878694441184,0.17379527098864817,332,3
ARI incidence,3,MRC_GIDA,Prophet,MRC_GIDA-Prophet,380.2886921912291,575.2601193027218,0.1475688248654559,74,4
ARI incidence,3,ISI,RespiVAR,ISI-RespiVAR,215.2856082435266,380.13823529411746,0.1331375895557085,34,5
ARI incidence,3,ECDC,SARIMA,ECDC-SARIMA,345.37568661730535,549.6209933014768,0.11136333895313791,249,6
ARI incidence,3,ECDC,soca_simplex,ECDC-soca_simplex,638.549579901123,845.434527133565,0.10572407814628823,311,7
ARI incidence,3,respicast,quantileBaseline,respicast-quantileBaseline,507.835467695189,801.0917910842697,0,357,8
ARI incidence,3,MRC_GIDA,TiDE,MRC_GIDA-TiDE,620.768362662562,907.0656068171814,-0.05641442646025552,69,9
ARI incidence,3,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,669.2854632339828,835.0757563928739,-0.06386493778567846,69,10
ARI incidence,3,ISI,FluBcast,ISI-FluBcast,375.80461934036833,482.6024465025971,-0.15003315883816934,179,11
ARI incidence,3,ISI,FluABCaster,ISI-FluABCaster,477.6063180329812,562.6825401222189,-0.16867737777254366,140,12
ARI incidence,3,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,653.6985421708727,679.7846153846153,-0.39917588195752657,143,13
ARI incidence,3,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,788.8398879601917,908.732107407207,-0.43889970140897727,69,14
ARI incidence,3,ISI,LSTFlu,ISI-LSTFlu,1398.1918827033824,1704.6239750480343,-1.1236350513591669,89,15
ARI incidence,3,ISI,GLEAM,ISI-GLEAM,529.1081889836379,652.7335208882001,-1.3967017019954344,109,16
ARI incidence,4,MIGHTE,jointGBM,MIGHTE-jointGBM,284.7332505314038,454.6694480510911,0.4230687798248486,182,1
ARI incidence,4,MRC_GIDA,Prophet,MRC_GIDA-Prophet,365.2790236002997,555.1287097338674,0.32316968364477544,73,2
ARI incidence,4,ECDC,soca_simplex,ECDC-soca_simplex,623.2234781448158,790.2207876250294,0.24631190498920752,283,3
ARI incidence,4,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,599.2565809906088,776.4919690332365,0.22618432199480784,68,4
ARI incidence,4,MRC_GIDA,TiDE,MRC_GIDA-TiDE,585.5351910034707,835.1830170888829,0.214553944838377,68,5
ARI incidence,4,ISI,RespiVAR,ISI-RespiVAR,243.9166428173958,379.5076923076919,0.21055477628546063,26,6
ARI incidence,4,safinea,PRFM,safinea-PRFM,511.779441281341,718.3380747641253,0.1991522456820694,311,7
ARI incidence,4,respicast,hubEnsemble,respicast-hubEnsemble,535.4452413972722,700.6748245049235,0.19099929488772405,327,8
ARI incidence,4,ECDC,SARIMA,ECDC-SARIMA,377.7584060109724,565.8961930232435,0.13309392270121012,228,9
ARI incidence,4,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,646.7370787048657,803.3150535577273,0.014744190977986009,68,10
ARI incidence,4,respicast,quantileBaseline,respicast-quantileBaseline,535.4885341061693,815.5587524522394,0,336,11
ARI incidence,4,ISI,FluBcast,ISI-FluBcast,356.2635618434161,481.46156111569826,-0.20077461857535694,163,12
ARI incidence,4,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,704.8998114046823,731.4307692307692,-0.23001628961670942,130,13
ARI incidence,4,ISI,FluABCaster,ISI-FluABCaster,524.1559009057211,629.2746511161045,-0.3471978688930067,123,14
ARI incidence,4,ISI,LSTFlu,ISI-LSTFlu,1712.1300348019877,2161.266639756908,-1.3430042092509251,73,15
ARI incidence,4,ISI,GLEAM,ISI-GLEAM,603.1081025372258,750.3242064273198,-1.611600744994385,97,16
ILI incidence,1,MIGHTE,jointGBM,MIGHTE-jointGBM,199.92746211466292,298.74290508941647,0.3567079914335515,342,1
ILI incidence,1,ISI,FluBcast,ISI-FluBcast,81.19022933876417,112.50171799769859,0.2969594687430601,294,2
ILI incidence,1,respicast,hubEnsemble,respicast-hubEnsemble,150.3269606766413,231.0181037799277,0.2555287813096681,479,3
ILI incidence,1,ISI,FluABCaster,ISI-FluABCaster,220.52654474117998,252.209396126804,0.22713206778803868,243,4
ILI incidence,1,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,228.2237406595411,341.15427387086703,0.12094596189990597,429,5
ILI incidence,1,ISI,RespiVAR,ISI-RespiVAR,212.2477153523407,332.25454545454545,0.08908251390814925,110,6
ILI incidence,1,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,177.98325045613225,263.2163701054894,0.06453544316842307,473,7
ILI incidence,1,ECDC,soca_simplex,ECDC-soca_simplex,215.7944867437865,310.14659386756057,0.047097622183635265,427,8
ILI incidence,1,respicast,quantileBaseline,respicast-quantileBaseline,183.66968981942335,262.6698775967356,0,482,9
ILI incidence,1,QMUL,ARIMA,QMUL-ARIMA,303.53938268412384,370.8880133523754,-0.008524323244391695,297,10
ILI incidence,1,QMUL,SEIR_agumented,QMUL-SEIR_agumented,147.2714554073743,180.58728179793266,-0.01632404576317507,213,11
ILI incidence,1,Chronos,Chronos2,Chronos-Chronos2,141.88963261475683,220.09275485142666,-0.08395526134027585,44,12
ILI incidence,1,ECDC,SARIMA,ECDC-SARIMA,216.46657663648472,309.33823396708334,-0.08519296664054515,356,13
ILI incidence,1,safinea,PRFM,safinea-PRFM,236.7702740778655,319.6832455765729,-0.125762434740516,465,14
ILI incidence,1,ISI,GLEAM,ISI-GLEAM,144.6903839351518,174.84323091521867,-0.13793762167689952,117,15
ILI incidence,1,QMUL,SEIR,QMUL-SEIR,164.23956741117826,244.9274819643963,-0.2036432655347425,238,16
ILI incidence,1,ISI,LSTFlu,ISI-LSTFlu,333.80366181231426,415.8292062057631,-0.31222587650492795,151,17
ILI incidence,1,RIVM,KFdlm,RIVM-KFdlm,938.2765441930908,375.37984955999605,-0.3776687286831286,357,18
ILI incidence,1,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,287.820922439728,301.21611374407587,-0.5295676600365478,211,19
ILI incidence,1,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,189.13787739113198,234.12268716881294,-0.6740538313199976,118,20
ILI incidence,1,MRC_GIDA,TiDE,MRC_GIDA-TiDE,159.78130196660567,247.92563947721575,-0.7143436020638148,118,21
ILI incidence,1,MRC_GIDA,Prophet,MRC_GIDA-Prophet,195.72546806703656,298.77370660385833,-0.7706794227845619,129,22
ILI incidence,1,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,237.20401740671966,257.31673655806173,-0.8643181122436346,118,23
ILI incidence,2,MIGHTE,jointGBM,MIGHTE-jointGBM,234.0599439751176,347.6235233028324,0.36052696650671834,325,1
ILI incidence,2,ISI,FluBcast,ISI-FluBcast,119.8772387987332,165.1897579353347,0.31890491592513387,277,2
ILI incidence,2,ISI,FluABCaster,ISI-FluABCaster,265.2589576072956,308.8311922372016,0.27609270609845,225,3
ILI incidence,2,respicast,hubEnsemble,respicast-hubEnsemble,202.6071997321143,302.205908528486,0.25312192483996654,455,4
ILI incidence,2,ISI,RespiVAR,ISI-RespiVAR,326.7672391144644,527.1548387096774,0.10263387223508336,93,5
ILI incidence,2,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,305.2743839722897,472.91071215133496,0.09955746841943332,406,6
ILI incidence,2,Chronos,Chronos2,Chronos-Chronos2,206.9547450405456,353.3837799683491,0.09678501586133754,19,7
ILI incidence,2,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,224.2135862593499,346.06906490684526,0.08227962192897353,446,8
ILI incidence,2,ECDC,soca_simplex,ECDC-soca_simplex,282.19760363802624,379.20234545345943,0.04800471235994267,399,9
ILI incidence,2,respicast,quantileBaseline,respicast-quantileBaseline,237.21913137284093,344.6802047106981,0,458,10
ILI incidence,2,QMUL,SEIR_agumented,QMUL-SEIR_agumented,205.2400788750724,241.2728255978967,-0.005804669941486076,198,11
ILI incidence,2,safinea,PRFM,safinea-PRFM,288.0720842017376,392.6899994226941,-0.008443868493659945,440,12
ILI incidence,2,ECDC,SARIMA,ECDC-SARIMA,293.0788139088184,402.75202102958616,-0.06736627924837638,338,13
ILI incidence,2,QMUL,SEIR,QMUL-SEIR,217.82449008086402,297.25796642444664,-0.0680422326821698,223,14
ILI incidence,2,QMUL,ARIMA,QMUL-ARIMA,364.10796893309504,446.5161060599837,-0.07232363690476731,280,15
ILI incidence,2,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,361.32842086291043,375.35816326530613,-0.09356490149926174,196,16
ILI incidence,2,ISI,GLEAM,ISI-GLEAM,206.04143825065327,239.9477455251528,-0.15281289428231173,106,17
ILI incidence,2,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,226.8294579316489,272.51589494961786,-0.20829285761751104,117,18
ILI incidence,2,MRC_GIDA,TiDE,MRC_GIDA-TiDE,210.93180989340325,308.0251711436907,-0.33244790451692097,117,19
ILI incidence,2,ISI,LSTFlu,ISI-LSTFlu,502.6324243109814,646.5028250945004,-0.3569301014406035,134,20
ILI incidence,2,RIVM,KFdlm,RIVM-KFdlm,4531.677614803925,375.57824780549265,-0.3613487609661281,331,21
ILI incidence,2,MRC_GIDA,Prophet,MRC_GIDA-Prophet,224.19289492129218,339.82010015017056,-0.44703972115994106,128,22
ILI incidence,2,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,280.914812680249,301.16262736265634,-0.4888526090784831,117,23
ILI incidence,3,respicast,hubEnsemble,respicast-hubEnsemble,237.26306320229307,339.53110818353576,0.27615798867961555,430,1
ILI incidence,3,ISI,FluBcast,ISI-FluBcast,122.77278230793901,174.01261296832072,0.23228367035112238,252,2
ILI incidence,3,MIGHTE,jointGBM,MIGHTE-jointGBM,251.46524856888598,382.97485987506406,0.19733194880004273,309,3
ILI incidence,3,ISI,FluABCaster,ISI-FluABCaster,368.86056726307777,430.62756811888835,0.08373515903674733,204,4
ILI incidence,3,ECDC,soca_simplex,ECDC-soca_simplex,330.5526154612417,440.9061008908517,0.06804941259976706,370,5
ILI incidence,3,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,251.09985566934554,295.24299536432534,0.0628657301061746,107,6
ILI incidence,3,ISI,RespiVAR,ISI-RespiVAR,307.19311810716823,481.6935897435894,0.05622600245669894,78,7
ILI incidence,3,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,256.7689795717353,396.8330350560454,0.05168771184542444,422,8
ILI incidence,3,safinea,PRFM,safinea-PRFM,299.9610723845009,396.33344512399793,0.03906080737742141,415,9
